
D  100	WGS 84
GPS 12   2.01 
T  N51 11.2759 W001 01.5042 Thu Aug 14 12:26:38 1997
T  N51 11.2752 W001 01.5046 Thu Aug 14 12:26:45 1997
T  N51 11.2701 W001 01.5078 Thu Aug 14 12:27:06 1997
T  N51 11.2685 W001 01.5065 Thu Aug 14 12:27:27 1997
T  N51 11.2682 W001 01.5039 Thu Aug 14 12:27:47 1997
T  N51 11.2672 W001 01.5030 Thu Aug 14 12:28:07 1997
T  N51 11.2662 W001 01.5042 Thu Aug 14 12:28:28 1997
T  N51 11.2643 W001 01.5058 Thu Aug 14 12:28:49 1997
T  N51 11.2617 W001 01.5068 Thu Aug 14 12:29:09 1997
T  N51 11.2582 W001 01.5081 Thu Aug 14 12:29:30 1997
T  N51 11.2517 W001 01.5081 Thu Aug 14 12:29:51 1997
T  N51 11.2466 W001 01.5078 Thu Aug 14 12:30:11 1997
T  N51 11.2427 W001 01.5062 Thu Aug 14 12:30:31 1997
T  N51 11.2408 W001 01.5049 Thu Aug 14 12:30:51 1997
T  N51 11.2414 W001 01.5036 Thu Aug 14 12:31:11 1997
T  N51 11.2437 W001 01.5020 Thu Aug 14 12:31:32 1997
T  N51 11.2450 W001 01.4988 Thu Aug 14 12:31:53 1997
T  N51 11.2479 W001 01.4946 Thu Aug 14 12:32:14 1997
T  N51 11.2533 W001 01.5030 Thu Aug 14 12:32:34 1997
T  N51 11.2334 W001 01.8811 Thu Aug 14 12:32:54 1997
T  N51 11.1809 W001 02.4785 Thu Aug 14 12:33:15 1997
T  N51 11.2566 W001 03.0222 Thu Aug 14 12:33:35 1997
T  N51 11.3718 W001 03.5336 Thu Aug 14 12:33:55 1997
T  N51 11.3695 W001 04.0569 Thu Aug 14 12:34:15 1997
T  N51 11.2730 W001 04.5674 Thu Aug 14 12:34:35 1997
T  N51 11.1124 W001 05.0151 Thu Aug 14 12:34:55 1997
T  N51 10.7625 W001 05.1413 Thu Aug 14 12:35:16 1997
